Author,Quote,Tag
Steve Martin,"“A day without sunshine is like, you know, night.”","humor,obvious,simile"
Steve Martin,"“A day without sunshine is like, you know, night.”","humor,obvious,simile"
Steve Martin,"“A day without sunshine is like, you know, night.”","humor,obvious,simile"
Steve Martin,"“A day without sunshine is like, you know, night.”","humor,obvious,simile"
Steve Martin,"“A day without sunshine is like, you know, night.”","humor,obvious,simile"
Steve Martin,"“A day without sunshine is like, you know, night.”","humor,obvious,simile"
Steve Martin,"“A day without sunshine is like, you know, night.”","humor,obvious,simile"
Steve Martin,"“A day without sunshine is like, you know, night.”","humor,obvious,simile"
Steve Martin,"“A day without sunshine is like, you know, night.”","humor,obvious,simile"
Steve Martin,"“A day without sunshine is like, you know, night.”","humor,obvious,simile"
Allen Saunders,“Life is what happens to us while we are making other plans.”,"fate,life,misattributed-john-lennon,planning,plans"
Allen Saunders,“Life is what happens to us while we are making other plans.”,"fate,life,misattributed-john-lennon,planning,plans"
Allen Saunders,“Life is what happens to us while we are making other plans.”,"fate,life,misattributed-john-lennon,planning,plans"
Allen Saunders,“Life is what happens to us while we are making other plans.”,"fate,life,misattributed-john-lennon,planning,plans"
Allen Saunders,“Life is what happens to us while we are making other plans.”,"fate,life,misattributed-john-lennon,planning,plans"
Allen Saunders,“Life is what happens to us while we are making other plans.”,"fate,life,misattributed-john-lennon,planning,plans"
Allen Saunders,“Life is what happens to us while we are making other plans.”,"fate,life,misattributed-john-lennon,planning,plans"
Allen Saunders,“Life is what happens to us while we are making other plans.”,"fate,life,misattributed-john-lennon,planning,plans"
Allen Saunders,“Life is what happens to us while we are making other plans.”,"fate,life,misattributed-john-lennon,planning,plans"
Allen Saunders,“Life is what happens to us while we are making other plans.”,"fate,life,misattributed-john-lennon,planning,plans"
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",music
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",music
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",music
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",music
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",music
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",music
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",music
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",music
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",music
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",music
George Eliot,“It is never too late to be what you might have been.”,inspirational
George Eliot,“It is never too late to be what you might have been.”,inspirational
George Eliot,“It is never too late to be what you might have been.”,inspirational
George Eliot,“It is never too late to be what you might have been.”,inspirational
George Eliot,“It is never too late to be what you might have been.”,inspirational
George Eliot,“It is never too late to be what you might have been.”,inspirational
George Eliot,“It is never too late to be what you might have been.”,inspirational
George Eliot,“It is never too late to be what you might have been.”,inspirational
George Eliot,“It is never too late to be what you might have been.”,inspirational
George Eliot,“It is never too late to be what you might have been.”,inspirational
James Baldwin,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",love
